Date,Year,Month,Day,Address,State,County,City,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,Latitude,Longitude
2021-11-06,2021,11,6,"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137",Pennsylvania,Philadelphia,Philadelphia,0.016353,0.03,11,28,0.5875,1.1,1,13.0,0.926087,1.6,0,1.0,16.979167,29.9,22,27,39.991389,-75.080833
2021-11-06,2021,11,6,"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137",Pennsylvania,Philadelphia,Philadelphia,0.016353,0.03,11,28,0.534783,1.1,23,7.388888888888889,0.926087,1.6,0,1.0,16.979167,29.9,22,27,39.991389,-75.080833
2021-11-13,2021,11,13,"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137",Pennsylvania,Philadelphia,Philadelphia,0.017176,0.027,9,25,0.558333,1.1,2,13.0,0.834783,2.0,0,3.0,9.970833,21.5,0,20,39.991389,-75.080833
2021-11-13,2021,11,13,"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137",Pennsylvania,Philadelphia,Philadelphia,0.017176,0.027,9,25,0.434783,1.0,0,7.388888888888889,0.834783,2.0,0,3.0,9.970833,21.5,0,20,39.991389,-75.080833
2021-11-01,2021,11,1,"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137",Pennsylvania,Philadelphia,Philadelphia,0.015882,0.028,9,26,0.282609,0.5,21,7.388888888888889,0.656522,1.9,2,1.0,12.208333,25.8,21,24,39.991389,-75.080833
2021-11-01,2021,11,1,"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137",Pennsylvania,Philadelphia,Philadelphia,0.015882,0.028,9,26,0.295833,0.4,0,5.0,0.656522,1.9,2,1.0,12.208333,25.8,21,24,39.991389,-75.080833
2021-11-02,2021,11,2,"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137",Pennsylvania,Philadelphia,Philadelphia,0.014941,0.023,10,21,0.304348,0.5,6,7.388888888888889,0.673913,1.7,7,1.0,15.408333,25.2,5,24,39.991389,-75.080833
2021-11-02,2021,11,2,"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137",Pennsylvania,Philadelphia,Philadelphia,0.014941,0.023,10,21,0.345833,0.4,0,5.0,0.673913,1.7,7,1.0,15.408333,25.2,5,24,39.991389,-75.080833
2021-11-03,2021,11,3,"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137",Pennsylvania,Philadelphia,Philadelphia,0.011235,0.024,9,22,0.340909,0.6,21,7.388888888888889,0.64,1.2,6,1.0,15.733333,24.6,20,23,39.991389,-75.080833
2021-11-03,2021,11,3,"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137",Pennsylvania,Philadelphia,Philadelphia,0.011235,0.024,9,22,0.316667,0.4,6,5.0,0.64,1.2,6,1.0,15.733333,24.6,20,23,39.991389,-75.080833
